rna_counts_matrix	erv_counts_matrix	sample_id	read1	read2	seq_batch	tissue	genotype	condition	treatment	mouse	dpi	experiment	germ-free
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S14_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S14	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S14/S14_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S14/S14_2.fq.gz	2	Ileum	TrexWT	RTI	PBS	1046	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S15_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S15	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S15/S15_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S15/S15_2.fq.gz	2	Ileum	TrexWT	RTI	PBS	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S16_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S16	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S16/S16_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S16/S16_2.fq.gz	2	Ileum	TrexWT	RTI	PBS	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S17_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S17	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S17/S17_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S17/S17_2.fq.gz	2	Ileum	TrexWT	RTI	PBS	1050	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S18_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S18	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S18/S18_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S18/S18_2.fq.gz	2	Ileum	TrexWT	RTI	PBS	1050	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S19_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S19	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S19/S19_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S19/S19_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1046	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S20_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S20	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S20/S20_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S20/S20_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1046	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S21_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S21	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S21/S21_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S21/S21_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S22_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S22	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S22/S22_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S22/S22_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S23_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S23	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S23/S23_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S23/S23_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S24_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S24	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S24/S24_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S24/S24_2.fq.gz	2	Ileum	TrexWT	RTI	IFNL	1050	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S25_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S25	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S25/S25_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S25/S25_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1055	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S26_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S26	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S26/S26_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S26/S26_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1055	1	LZ133	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S27_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S27	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S27/S27_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S27/S27_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1056	1	LZ133	no
